,CODE,Port,Country,latitude,longitude
479,AUCAL,CALOUNDRA HEAD,AUSTRALIA,,
480,AUCAZ,COBAR,AUSTRALIA,,
481,AUCBC,CHERRABUN,AUSTRALIA,,
482,AUCBI,CAPE BARREN ISLAND,AUSTRALIA,,
483,AUCBN,CAMPBELLTOWN,AUSTRALIA,,
484,AUCBR,CANBERRA,AUSTRALIA,,
485,AUCBX,CONDOBOLIN,AUSTRALIA,,
486,AUCBY,CANOBIE,AUSTRALIA,,
487,AUCCL,CHINCHILLA,AUSTRALIA,,
488,AUCCU,CAPE CUVIER,AUSTRALIA,,
489,AUCCW,COWELL,AUSTRALIA,,
